"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100µF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C2","220µF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","1N5824","~","Diode_SMD:D_SMA","1",""
"J1","+15 G -15","~","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1",""
"J2","AudioJack3_SwitchTR","~","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","1",""
"J5","x out","~","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1",""
"J6","y out","~","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1",""
"J7","405nm","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1",""
"L1","68µH","~","Inductor_THT:L_Radial_D10.0mm_P5.00mm","1",""
"R1,R2,R5,R7","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"R3,R4,R11,R12,R13,R14","330","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6",""
"R6,R8,R9,R10","22k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"RV1,RV2","10k","~","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","2",""
"U1","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","X galvo","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","Y TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U4","Teensy4.0","","teensy.pretty-master:Teensy40","1",""
"U5","LM2596S-5","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-252-5_TabPin3","1",""
